budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
jails,2021-22,jails__null__jails__district jails__null__salaries,2056__0__101__486__0__1,3986.41,4462.41,4462.41,4448.410000000001,level_6,jails__jails__district jails__salaries,6,6,Jails - Jails - District Jails - Salaries,district jails
jails,2018-19,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,30.69,45,45,49.5,level_6,jails__jails__district jails__travel expenses,6,6,Jails - Jails - District Jails - Travel Expenses,district jails
jails,2019-20,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,17.34,49.5,49.5,49.41,level_6,jails__jails__district jails__travel expenses,6,6,Jails - Jails - District Jails - Travel Expenses,district jails
jails,2020-21,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,44.03,49.41,49.41,45.95,level_6,jails__jails__district jails__travel expenses,6,6,Jails - Jails - District Jails - Travel Expenses,district jails
jails,2021-22,jails__null__jails__district jails__null__travel expenses,2056__0__101__486__0__3,38,45.95,45.95,23.85,level_6,jails__jails__district jails__travel expenses,6,6,Jails - Jails - District Jails - Travel Expenses,district jails
jails,2018-19,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,24.45,17.55,17.55,23.2,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2019-20,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,15.239999999999998,23.2,23.2,61,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2020-21,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,9.74,61,81,68.82000000000001,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2021-22,jails__null__jails__district jails__null__minor works,2056__0__101__486__0__14,23.47,68.82000000000001,68.82000000000001,54,level_6,jails__jails__district jails__minor works,6,6,Jails - Jails - District Jails - Minor Works,district jails
jails,2018-19,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,5.5,5.5,0.02,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2019-20,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,3.42,0.02,0.02,19.21,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2020-21,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,0,19.21,29.71,0.02,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2021-22,jails__null__jails__district jails__null__purchase of motor vehicles,2056__0__101__486__0__16,21.21,0.02,16.020000000000003,0.01,level_6,jails__jails__district jails__purchase of motor vehicles,6,6,Jails - Jails - District Jails - Purchase Of Motor Vehicles,district jails
jails,2018-19,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,2034.62,1792.48,1792.48,1915.52,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2019-20,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1736.48,1915.52,1915.52,2069.8,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2020-21,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1693.74,2069.8,2069.8,1816.29,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2021-22,jails__null__jails__district jails__null__materials & supplies,2056__0__101__486__0__19,1957.13,1816.29,1816.29,1655.5700000000002,level_6,jails__jails__district jails__materials & supplies,6,6,Jails - Jails - District Jails - Materials & Supplies,district jails
jails,2018-19,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,75.39,84.03,112.78,102.62,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2019-20,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,89.68,102.62,102.62,108.28,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2020-21,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,78.5,108.28,108.28,98.26,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2021-22,jails__null__jail manufacturers__null__null__salaries,2056__0__102__0__0__1,85.7,98.26,98.26,94.38000000000001,level_6,jails__jail manufacturers__salaries,6,6,Jails - Jail Manufacturers - Salaries,jail manufacturers
jails,2018-19,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,62.6,68.95,93.35,89.69,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2019-20,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,63.18,89.69,89.69,97.39999999999999,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
jails,2020-21,jails__null__other expenditure__open air jails__null__salaries,2056__0__800__489__0__1,88.95,97.39999999999999,97.39999999999999,92.81,level_6,jails__other expenditure__open air jails__salaries,6,6,Jails - Other Expenditure - Open Air Jails - Salaries,open-air jails
